latitude_old,longitude_old,latitude,longitude,altitude_m,speed_mps,steeringAngleDegree,latitude_future,longitude_future
35.19301605,-97.43851984,35.19301614,-97.4385178,334.7048723,4.674424171,39.90000153,35.1930163,-97.438516
35.19301614,-97.4385178,35.19301625,-97.43851576,334.7125971,4.60158205,40.09999847,35.1930164,-97.438514
35.19301625,-97.43851576,35.19301637,-97.43851385,334.7182242,4.5288167,40.40000153,35.1930165,-97.438512
35.19301637,-97.43851385,35.1930165,-97.43851191,334.7255077,4.453440189,41,35.1930166,-97.43851
35.1930165,-97.43851191,35.19301662,-97.43850991,334.7318581,4.36920166,41.5,35.1930168,-97.438508
35.19301662,-97.43850991,35.19301676,-97.43850793,334.7362618,4.288690567,41.79999924,35.1930172,-97.438493
35.19301676,-97.43850793,35.19301724,-97.43849347,334.4109644,4.154986382,41.79999924,35.1930173,-97.438493
35.19301724,-97.43849347,35.1930173,-97.43849255,334.4116517,4.142206192,41.79999924,35.1930174,-97.438491
35.1930173,-97.43849255,35.19301745,-97.43849069,334.4164302,4.064408302,41.79999924,35.1930176,-97.438489
35.19301745,-97.43849069,35.19301759,-97.4384889,334.4211448,3.969652653,41.70000076,35.1930177,-97.438487
35.19301759,-97.4384889,35.19301774,-97.43848717,334.4259669,3.898750544,41.40000153,35.1930179,-97.438485
35.19301774,-97.43848717,35.1930179,-97.43848543,334.4311864,3.82963419,40.90000153,35.193018,-97.438484
35.1930179,-97.43848543,35.19301805,-97.43848378,334.4359126,3.76055789,40.40000153,35.1930182,-97.438482
35.19301805,-97.43848378,35.1930182,-97.43848223,334.4415284,3.699861288,40.09999847,35.1930184,-97.438481
35.1930182,-97.43848223,35.19301836,-97.43848071,334.445843,3.618593454,39.29999924,35.1930185,-97.438479
35.19301836,-97.43848071,35.19301851,-97.4384792,334.4502744,3.544212341,38.20000076,35.1930187,-97.438478
35.19301851,-97.4384792,35.19301867,-97.43847776,334.4541424,3.461094618,36.79999924,35.1930188,-97.438476
35.19301867,-97.43847776,35.19301883,-97.43847629,334.4579776,3.395923138,35.79999924,35.193019,-97.438475
35.19301883,-97.43847629,35.19301897,-97.43847493,334.462064,3.344381571,35,35.1930191,-97.438474
35.19301897,-97.43847493,35.19301912,-97.43847358,334.4660727,3.258740664,33.70000076,35.1930193,-97.438472
35.19301912,-97.43847358,35.19301925,-97.43847226,334.4685146,3.201632023,32.70000076,35.1930194,-97.438471
35.19301925,-97.43847226,35.19301939,-97.43847094,334.469657,3.120179176,31.39999962,35.1930195,-97.43847
35.19301939,-97.43847094,35.19301952,-97.43846969,334.4706655,3.069505692,30.89999962,35.1930196,-97.438469
35.19301952,-97.43846969,35.19301964,-97.43846855,334.4713197,3.020057201,30.79999924,35.1930198,-97.438467
35.19301964,-97.43846855,35.19301978,-97.43846723,334.4720329,2.93563652,30.89999962,35.1930199,-97.438466
35.19301978,-97.43846723,35.19301989,-97.43846608,334.4705812,2.883980274,31.29999924,35.1930207,-97.438453
35.19301989,-97.43846608,35.19302069,-97.43845262,334.0690928,2.817062855,32.09999847,35.1930208,-97.438452
35.19302069,-97.43845262,35.19302081,-97.43845152,334.0712402,2.752877951,33.40000153,35.193021,-97.43845
35.19302081,-97.43845152,35.19302095,-97.4384503,334.0731402,2.677577496,35.09999847,35.1930211,-97.438449
35.19302095,-97.4384503,35.19302108,-97.43844919,334.0751472,2.615142345,36.09999847,35.1930212,-97.438448
35.19302108,-97.43844919,35.19302121,-97.43844813,334.0771083,2.567445755,36.5,35.1930213,-97.438447
35.19302121,-97.43844813,35.19302133,-97.43844708,334.0781313,2.5102036,36.5,35.1930215,-97.438446
35.19302133,-97.43844708,35.19302146,-97.43844607,334.0792109,2.443895817,36.5,35.1930216,-97.438445
35.19302146,-97.43844607,35.19302157,-97.43844516,334.0792204,2.408125162,36.5,35.1930217,-97.438444
