Filter,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.elevator,RC.throttle,RC.rudder,RC.aileron,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength,
2,8.7,32.82455585,-95.30655168,429,,0,0.100000166,-0.70000116,-0.8,-4.7,90,0.100000166,1451,1246,1024,1024,,31.16798,0.089408,94,7.852,5.187,N,0.3978656,Calm,
3,8.8,32.82455583,-95.30655156,429,,0,0.200000332,-0.70000116,-1,-8.2,90,0.200000332,1494,1245,1024,1024,,31.16798,0.134112,94,7.852,5.187,N,0.3978656,Calm,
4,8.9,32.82455582,-95.30655129,430,,0,0.400000663,-0.70000116,-0.7,-12,90,0.400000663,1515,1246,1024,1024,,32.152232,0.134112,94,7.852,5.187,N,0.3978656,Calm,
0,9,32.82455605,-95.30655075,430,,0,0.600000995,-0.70000116,-0.5,-14.4,90,0.600000995,1537,1246,1024,1024,,32.152232,0.22352,94,7.859,5.187,N,0.3978656,Calm,
1,9.1,32.82455606,-95.30655,430,,0,0.800001326,-0.70000116,-0.7,-15.2,90.1,0.800001326,1547,1248,1024,1024,,33.136484,0.312928,94,7.859,5.187,N,0.3978656,Calm,
2,9.2,32.82455601,-95.30654874,430,,0,1.100001823,-0.70000116,-1.1,-16.4,90,1.100001823,1569,1248,1024,1024,,33.136484,0.491744,94,7.859,5.187,N,0.2995168,Calm,
3,9.3,32.8245561,-95.30654737,431,,0,1.400002321,-0.70000116,-0.9,-17.3,90.1,1.400002321,1614,1251,1024,1024,,33.136484,0.67056,94,7.859,5.187,N,0.2995168,Calm,
4,9.4,32.82455606,-95.30654534,431,,0,1.700002818,-0.70000116,-0.2,-18.1,90,1.700002818,1663,1258,1024,1024,,34.120736,0.983488,94,7.859,5.187,N,0.2995168,Calm,
0,9.5,32.82455615,-95.30654318,431,,0,2.000003315,-0.70000116,0,-20.2,89.8,2.000003315,1684,1265,1024,1041,,34.120736,1.251712,94,7.859,5.187,N,0.2995168,Calm,
1,9.6,32.82455607,-95.30654053,431,,0,2.300003812,-0.70000116,0,-22.7,89.9,2.300003812,1684,1268,1024,1041,,35.433072,1.609344,94,7.859,5.187,NW,0.2995168,Calm,
2,9.7,32.82455614,-95.30653786,432,,0,2.700004476,-0.800001326,0.1,-23.9,90,2.700004476,1684,1263,1024,1042,,35.433072,2.01168,94,7.859,5.187,NW,0.3978656,Calm,
3,9.8,32.82455618,-95.30653464,432,,0,3.100005139,-0.800001326,-0.8,-23.5,90,3.100005139,1684,1269,1024,1042,,36.417324,2.414016,94,7.859,5.187,NW,0.3978656,Calm,
4,9.9,32.82455624,-95.30653085,432,,0,3.500005802,-0.800001326,-0.7,-23.4,90.1,3.500005802,1684,1356,1024,1039,,36.417324,2.950464,94,7.859,5.187,NW,0.3978656,Calm,
0,10,32.82455628,-95.30652708,432,,0,3.800006299,-0.800001326,-0.2,-23.7,90.1,3.800006299,1684,1403,1024,1040,,37.401576,3.486912,94,7.859,5.083,NW,0.3978656,Calm,
1,10.1,32.82455622,-95.30652328,433,,0,4.200006962,-1.000001658,0,-21.6,89.9,4.200006962,1684,1433,1024,1038,,38.713912,3.978656,94,7.859,5.083,NW,0.3978656,Calm,
2,10.2,32.82455623,-95.3065185,433,,0,4.600007625,-1.400002321,-0.4,-19.2,90,4.600007625,1684,1437,1024,1034,,39.698164,4.649216,94,7.859,5.083,NW,0.3978656,Calm,
3,10.3,32.82455619,-95.30651209,434,,0,4.900008122,-1.700002818,-1.2,-17.8,90.1,4.900008122,1684,1404,1024,1024,,41.666668,5.543296,94,7.859,5.083,NW,0.3978656,Calm,
4,10.4,32.82455619,-95.30650769,434,,0,5.20000862,-1.900003149,-1.2,-18.1,90.1,5.20000862,1684,1166,1024,1024,,43.963256,6.124448,94,7.859,5.083,NW,0.3978656,Calm,
0,10.5,32.82455611,-95.3065008,435,,-0.100000166,5.400008951,-2.000003315,-1.2,-18.6,91.5,5.400934771,1684,1024,1024,1024,,46.259844,7.063232,94,7.859,5.083,NW,0.3978656,Calm,
1,10.6,32.824556,-95.30649573,436,,-0.100000166,5.600009283,-1.800002984,-0.9,-20.3,91.9,5.600902021,1684,1024,1024,1024,,48.228348,7.778496,94,7.859,5.083,NW,0.3978656,Calm,
