OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],OSD.xSpeed [m/s],MPH to m/s,OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,OSD.vpsHeight [m],ft to m,HOME.heightLimit [ft],HOME.distance [ft],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
10.5,35.18360249,-97.44557231,1132,0,,0,-0.100000166,5.2,1.5,132.4,0,1024,1024,1228,1024,12.795276,,322.834656,1.312336,97,7.913,5.246,NW,3.2991552,Calm
10.6,35.18360248,-97.44557233,1132,0,,0,-0.100000166,5.3,1.3,132.2,0,1024,1024,1224,1024,12.795276,,322.834656,1.312336,97,7.913,5.246,NW,3.397504,Calm
10.7,35.1836025,-97.44557243,1132,0,,0,-0.100000166,4.3,0.6,132.3,0,965,1024,1224,1024,13.779528,,322.834656,1.312336,97,7.913,5.246,NW,3.397504,Calm
10.8,35.18360251,-97.44557249,1132,0,,0,-0.100000166,4.1,0.2,132.2,0,890,1024,1223,1024,13.779528,,322.834656,1.312336,97,7.913,5.246,NW,3.397504,Calm
10.9,35.18360256,-97.4455726,1132,0,,0,-0.100000166,4.6,0.7,132.3,0,806,1024,1223,1024,13.779528,,322.834656,0.984252,97,7.913,5.246,NW,3.397504,Calm
11,35.18360259,-97.44557264,1132,0,,0,-0.100000166,3.9,0.9,132.2,0,732,1024,1223,1024,13.779528,,322.834656,0.984252,97,7.913,5.246,NW,3.397504,Calm
11.1,35.18360261,-97.44557266,1132,0,,0,-0.200000332,4.3,0.3,132.2,0,703,1024,1221,1024,13.779528,,322.834656,0.984252,97,7.913,5.246,NW,3.397504,Calm
11.2,35.18360263,-97.44557269,1132,0,,0,-0.100000166,4.8,-0.9,132.2,0,661,1024,1220,1024,13.779528,,322.834656,0.984252,97,7.913,5.246,NW,3.397504,Calm
11.3,35.18360264,-97.44557268,1132,0,,0,-0.100000166,4.7,-2.8,132.2,0,615,1024,1204,1024,14.76378,,322.834656,0.984252,97,7.913,5.246,NW,3.397504,Calm
11.4,35.1836027,-97.44557264,1132,0.100000166,,0,-0.100000166,4.3,-4.5,132.1,0.100000166,558,1024,1200,1024,14.76378,,322.834656,0.984252,97,7.907,5.297,NW,3.397504,Calm
11.5,35.18360284,-97.4455725,1132,0.100000166,,0.100000166,-0.100000166,4.4,-4.1,132,0.141421551,544,1024,1156,1024,14.76378,,322.834656,0.984252,97,7.907,5.297,NW,3.397504,Calm
11.6,35.18360302,-97.44557234,1132,0.200000332,,0.100000166,-0.100000166,4.2,-5.3,131.9,0.223606726,546,1024,1111,1024,14.76378,,322.834656,1.312336,97,7.907,5.297,NW,3.397504,Calm
11.7,35.18360329,-97.44557203,1132,0.300000497,,0.200000332,-0.100000166,4.5,-6.6,131.9,0.360555642,522,1024,1109,1024,14.76378,,322.834656,1.64042,97,7.907,5.297,NW,3.397504,Calm
11.8,35.18360361,-97.4455717,1132,0.300000497,,0.300000497,0,4.5,-7.1,132,0.424264653,518,1024,1069,1024,14.76378,,322.834656,1.968504,97,7.907,5.297,NW,3.397504,Calm
11.9,35.18360396,-97.4455713,1133,0.400000663,,0.300000497,0,4.1,-8.7,132,0.500000829,648,1024,1030,1024,14.76378,,322.834656,2.624672,97,7.907,5.297,NW,3.397504,Calm
12,35.18360448,-97.44557074,1133,0.500000829,,0.400000663,0,3.8,-9.7,132,0.640313274,648,1024,1030,1024,14.76378,,322.834656,3.28084,97,7.907,5.297,NW,3.397504,Calm
12.1,35.18360513,-97.44557003,1133,0.600000995,,0.600000995,0,4.4,-8.4,131.9,0.848529306,1024,1024,1024,1024,14.76378,,322.834656,4.265092,97,7.907,5.297,NW,3.397504,Calm
12.2,35.18360574,-97.44556935,1133,0.70000116,,0.600000995,0,4.6,-3.7,132.3,0.921955626,1024,1024,1024,1024,14.76378,,322.834656,5.249344,97,7.907,5.297,NW,3.397504,Calm
12.3,35.1836063,-97.44556865,1133,0.70000116,,0.600000995,0,4.2,-0.4,132.4,0.921955626,1024,1024,1024,1024,14.76378,,322.834656,6.233596,97,7.907,5.297,NW,3.397504,Calm
12.4,35.18360688,-97.4455679,1133,0.600000995,,0.600000995,0,5.3,-0.7,132.2,0.848529306,1024,1024,1024,1024,14.76378,,322.834656,7.217848,97,7.907,5.297,NW,3.397504,Calm
12.5,35.18360759,-97.44556705,1133,0.600000995,,0.600000995,0,5.6,3.4,132.3,0.848529306,1231,1024,1024,1024,14.76378,,322.834656,8.530184,97,7.907,5.297,NW,3.2991552,Calm
12.6,35.18360806,-97.44556653,1133,0.600000995,,0.500000829,0,4.3,7.6,132.6,0.781025819,1548,1024,1024,1024,14.76378,,322.834656,9.186352,97,7.907,5.297,NW,3.2991552,Calm
12.7,35.18360853,-97.44556602,1133,0.400000663,,0.400000663,0,3.6,5.6,132.7,0.565686204,1492,1024,1024,1024,14.76378,,322.834656,9.84252,97,7.907,5.297,NW,3.2991552,Calm
12.8,35.18360895,-97.44556553,1133,0.400000663,,0.300000497,0,4.4,9.2,132.7,0.500000829,1024,1024,1024,1024,14.76378,,322.834656,10.498688,97,7.904,5.297,NW,3.2991552,Calm
12.9,35.18360918,-97.44556523,1133,0.200000332,,0.200000332,0,4.1,9.4,132.8,0.282843102,1024,1024,1024,1024,14.76378,,322.834656,10.826772,97,7.904,5.297,NW,3.2991552,Calm
13,35.18360927,-97.44556511,1133,0,,0.100000166,0,4.2,2.4,132.5,0.100000166,1002,1024,1024,1024,14.76378,,322.834656,11.154856,97,7.904,5.297,NW,3.2991552,Calm
13.1,35.18360933,-97.44556497,1133,0,,0.100000166,0,5.9,-0.4,132.3,0.100000166,695,1024,1024,1024,14.76378,,322.834656,11.154856,97,7.904,5.297,NW,3.2991552,Calm
13.2,35.18360937,-97.44556483,1133,0,,0.100000166,0,6.6,-0.8,132.4,0.100000166,619,1024,1024,1024,14.76378,,322.834656,11.48294,97,7.904,5.297,NW,3.196336,Calm
