OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
201.5,32.82519529,-95.30634011,429,,0.600000995,7.600012598,0.600000995,30,-22.8,115,7.623659673,1035,1684,364,1630,,41.666668,800.853044,78,7.743,8.22,N,3.598672,Calm
201.6,32.82519546,-95.3063325,429,,0,7.400012266,1.000001658,28.9,-24.8,124.3,7.400012266,1035,1684,749,1328,,40.682416,803.149632,78,7.743,8.22,N,3.4958528,Calm
201.7,32.82519502,-95.30632589,429,,-0.500000829,7.100011769,1.300002155,27.9,-26.6,133,7.11759564,1035,1684,887,1224,,38.713912,804.461968,78,7.743,8.22,N,3.4958528,Calm
201.8,32.82519415,-95.30631854,428,,-1.200001989,6.700011106,1.400002321,27.1,-24.7,139.3,6.806625676,1035,1684,1024,1086,,36.417324,805.774304,78,7.743,8.22,N,3.397504,Calm
201.9,32.82519186,-95.30631099,428,,-2.400003978,6.200010277,0.900001492,23.2,-23.3,142.8,6.648318977,1035,1684,1024,1024,,35.433072,805.44622,78,7.743,8.22,N,3.397504,Calm
202,32.82518928,-95.30630488,428,,-3.200005304,5.90000978,0.600000995,20.7,-26.3,143.3,6.711940368,1035,1684,995,1179,,35.433072,804.461968,78,7.743,8.22,N,3.397504,Calm
202.1,32.82518584,-95.30629882,428,,-3.900006465,5.600009283,0.400000663,21,-28.3,143.7,6.824232793,1033,1684,687,1307,,35.433072,802.493464,78,7.743,8.22,N,3.397504,Calm
202.2,32.82518178,-95.30629307,428,,-4.700007791,5.300008785,0.300000497,23.2,-27.8,144,7.08379584,1033,1684,364,1298,,35.433072,799.540708,78,7.743,8.22,N,3.397504,Calm
202.3,32.82517662,-95.30628791,427,,-5.100008454,5.000008288,0.600000995,23.1,-27.7,144.5,7.142140372,1034,1684,364,1284,,35.433072,795.6037,78,7.743,3.734,N,3.4958528,Calm
202.4,32.82517112,-95.30628229,427,,-5.500009117,4.800007956,1.000001658,22.2,-26.5,147.4,7.300011653,1032,1684,364,1288,,34.120736,791.338608,78,7.743,3.734,N,3.4958528,Calm
202.5,32.82516652,-95.30627785,427,,-5.90000978,4.500007459,1.300002155,22,-26.5,149.8,7.420254684,1028,1684,364,1304,,33.136484,787.729684,78,7.743,3.734,N,3.4958528,Calm
202.6,32.82516115,-95.30627333,427,,-6.300010443,4.200006962,1.400002321,22.4,-25.8,152.1,7.571669815,1027,1684,364,1304,,33.136484,783.464592,78,7.743,3.734,N,3.598672,Calm
202.7,32.82515408,-95.30626804,426,,-6.800011272,3.900006465,1.400002321,22.2,-25.3,154.2,7.839017616,1026,1684,364,1291,,32.152232,777.55908,78,7.743,3.734,N,3.598672,Calm
202.8,32.82514795,-95.3062643,426,,-7.300011653,3.500005802,1.400002321,22.5,-25.9,155.9,8.095690997,1025,1684,364,1245,,31.16798,772.309736,78,7.743,3.734,N,3.598672,Calm
202.9,32.82514089,-95.30626071,425,,-7.800012929,3.100005139,1.400002321,21.1,-27.4,158.1,8.393463447,1025,1684,364,1024,,29.855644,765.748056,78,7.743,3.734,N,3.6970208,Calm
203,32.82513478,-95.30625795,425,,-8.200013592,2.800004641,1.400002321,16.9,-30.3,160.5,8.664885571,1025,1684,674,1024,,28.871392,760.170628,78,7.743,3.734,NW,3.6970208,Calm
203.1,32.82512563,-95.30625461,425,,-8.700014421,2.60000431,1.400002321,11.9,-32.6,162.8,9.080213,1028,1684,1024,1024,,27.88714,751.640444,78,7.743,3.734,NW,3.6970208,Calm
203.2,32.82511794,-95.30625202,424,,-9.20001525,2.400003978,1.400002321,10.9,-33.1,164.3,9.507906897,1034,1684,1024,1133,,27.88714,744.094512,78,7.709,3.734,NW,3.79984,Calm
203.3,32.82510883,-95.30624955,424,,-9.800016244,2.200003647,1.000001658,10.3,-31.4,165,10.04391993,1036,1684,1024,1363,,27.88714,735.236244,78,7.709,5.776,NW,3.79984,Calm
203.4,32.82509874,-95.30624715,424,,-10.30001707,1.900003149,0.500000829,12.3,-30.8,164.9,10.47379404,1038,1684,1024,1631,,27.88714,725.393724,78,7.709,5.776,NW,3.79984,Calm
203.5,32.82508862,-95.30624496,423,,-10.8000179,1.600002652,0.300000497,25.3,-20.3,164.3,10.91789296,1038,1684,1029,1629,,27.88714,715.551204,78,7.709,5.776,NW,3.8981888,Calm
203.6,32.82507915,-95.30624362,423,,-11.1000184,0.900001492,0,33.1,-4.1,169.9,11.13644501,1037,1684,1024,1300,,27.88714,706.036768,78,7.709,5.776,NW,3.8981888,Calm
203.7,32.82506972,-95.30624336,423,,-10.90001807,0.100000166,-0.200000332,35.4,1,177.2,10.90047673,1037,1684,1024,1024,,28.871392,696.194248,78,7.709,5.776,NW,3.8981888,Calm
